algoritmo,semente,cliente_id,grupo,mse_global,mse_personalizado
fedprox (mu=0.01),6,0,baixa_heterog,1.7886902726868747,1.6033186899124776
fedprox (mu=0.01),6,1,baixa_heterog,1.6620840807032453,1.4493525069959834
fedprox (mu=0.01),6,2,baixa_heterog,1.300862033492849,1.3181004789461026
fedprox (mu=0.01),6,3,baixa_heterog,1.678834600905597,1.2810792461940843
fedprox (mu=0.01),6,4,baixa_heterog,1.9759348193601198,1.2234376940094203
fedprox (mu=0.01),6,5,baixa_heterog,6.879578511465097,1.9090896361422387
fedprox (mu=0.01),6,6,alta_heterog,4.099775872643267,1.5260190167372316
fedprox (mu=0.01),6,7,alta_heterog,2.0209765012815213,1.7836098940518355
fedprox (mu=0.01),6,8,alta_heterog,2.390128423848915,1.3877216184901657
fedprox (mu=0.01),6,9,alta_heterog,1.967080469523613,1.396698635277305
fedprox (mu=0.01),7,0,baixa_heterog,3.7506808030158845,1.1251689097296393
fedprox (mu=0.01),7,1,baixa_heterog,3.0438452551967683,1.3317032612791662
fedprox (mu=0.01),7,2,baixa_heterog,2.326016678570201,1.5038431104030834
fedprox (mu=0.01),7,3,baixa_heterog,5.90271778936066,1.2025770288878084
fedprox (mu=0.01),7,4,baixa_heterog,1.999013724125781,1.5392176389013277
fedprox (mu=0.01),7,5,baixa_heterog,6.962211458746356,1.5350848200691105
fedprox (mu=0.01),7,6,alta_heterog,2.008805854567347,1.5112534567253197
fedprox (mu=0.01),7,7,alta_heterog,2.925616723889281,1.7324626969864547
fedprox (mu=0.01),7,8,alta_heterog,13.113310643748473,3.884695032242849
fedprox (mu=0.01),7,9,alta_heterog,13.343647386246959,4.44427601480097
fedprox (mu=0.01),8,0,baixa_heterog,2.2202449614505455,1.7374163806601288
fedprox (mu=0.01),8,1,baixa_heterog,2.098769288243735,1.6119746602791336
fedprox (mu=0.01),8,2,baixa_heterog,1.7914853636895105,1.461251482180376
fedprox (mu=0.01),8,3,baixa_heterog,2.896406564984409,1.6606811084098447
fedprox (mu=0.01),8,4,baixa_heterog,2.7625044298026897,1.5858121930086833
fedprox (mu=0.01),8,5,baixa_heterog,4.179145480461146,1.8336151040461053
fedprox (mu=0.01),8,6,alta_heterog,1.345737890233023,1.0362177681348443
fedprox (mu=0.01),8,7,alta_heterog,3.2349997272766466,1.2334634778697557
fedprox (mu=0.01),8,8,alta_heterog,4.1495985619366715,1.649558809004464
fedprox (mu=0.01),8,9,alta_heterog,2.9016796964379545,1.4004533312704175
fedprox (mu=0.05),1,0,baixa_heterog,2.073501053732059,1.303148502276356
fedprox (mu=0.05),1,1,baixa_heterog,3.158095501384947,1.6737761494513292
fedprox (mu=0.05),1,2,baixa_heterog,3.8813870966365385,1.2972356127706497
fedprox (mu=0.05),1,3,baixa_heterog,7.385993263471297,1.4719057472854091
fedprox (mu=0.05),1,4,baixa_heterog,1.4708588940756862,1.4187842652512184
fedprox (mu=0.05),1,5,baixa_heterog,4.068292318006059,1.7885746618286695
fedprox (mu=0.05),1,6,alta_heterog,4.618601238316592,1.5159360541444917
fedprox (mu=0.05),1,7,alta_heterog,8.204502879223504,2.9248203123694934
fedprox (mu=0.05),1,8,alta_heterog,11.762788338880119,4.461889227128574
fedprox (mu=0.05),1,9,alta_heterog,11.47114907206756,1.5617987815072891
fedprox (mu=0.05),2,0,baixa_heterog,9.377309441210251,2.633559751562731
fedprox (mu=0.05),2,1,baixa_heterog,7.6097269995000625,2.398890293437954
fedprox (mu=0.05),2,2,baixa_heterog,8.226667570897968,2.2856950271946506
fedprox (mu=0.05),2,3,baixa_heterog,11.797541686392908,3.3058610055683313
fedprox (mu=0.05),2,4,baixa_heterog,14.057892311886583,2.360560919261361
fedprox (mu=0.05),2,5,baixa_heterog,6.7374461649252,3.2598061588457643
fedprox (mu=0.05),2,6,alta_heterog,10.85929894668984,4.399786290872559
fedprox (mu=0.05),2,7,alta_heterog,11.968139646215334,3.834317284866023
fedprox (mu=0.05),2,8,alta_heterog,6.409300483080879,2.379001834274456
fedprox (mu=0.05),2,9,alta_heterog,2.3185715188184317,1.592302714373448
fedprox (mu=0.05),3,0,baixa_heterog,1.5532898281496983,1.4557719471565902
fedprox (mu=0.05),3,1,baixa_heterog,2.380597608816726,1.5672434883965598
fedprox (mu=0.05),3,2,baixa_heterog,2.482590159505121,1.637376817444232
fedprox (mu=0.05),3,3,baixa_heterog,2.529401764201206,1.5429159983282332
