janela,rodada,cliente_id,selecionado,falhou,tempo_execucao,tamanho_lote,mse_treino,mse_teste
2,3,4,1,0,8.7e-05,80,0.0,0.0
2,3,5,0,0,0.0,0,0.0,0.0
2,3,6,1,1,0.0,0,0.0,0.0
2,3,7,0,0,0.0,0,0.0,0.0
2,3,8,1,0,8.8e-05,80,0.0,0.0
2,3,9,1,0,8.6e-05,80,0.0,0.0
2,3,1,1,0,0.0,0,5.590277,0.0
2,3,3,1,0,0.0,0,3.982564,0.0
2,3,4,1,0,0.0,0,6.576151,0.0
2,3,6,1,0,0.0,0,15.433955,0.0
2,3,8,1,0,0.0,0,8.594608,0.0
2,3,9,1,0,0.0,0,3.074602,0.0
2,4,0,1,0,0.000115,80,0.0,0.0
2,4,1,0,0,0.0,0,0.0,0.0
2,4,2,1,0,9.9e-05,80,0.0,0.0
2,4,3,0,0,0.0,0,0.0,0.0
2,4,4,1,0,9.7e-05,80,0.0,0.0
2,4,5,1,0,9.7e-05,80,0.0,0.0
2,4,6,1,0,9.8e-05,80,0.0,0.0
2,4,7,0,0,0.0,0,0.0,0.0
2,4,8,1,0,0.000108,80,0.0,0.0
2,4,9,0,0,0.0,0,0.0,0.0
2,4,0,1,0,0.0,0,4.891041,0.0
2,4,2,1,0,0.0,0,4.533509,0.0
2,4,4,1,0,0.0,0,4.95968,0.0
2,4,5,1,0,0.0,0,9.491665,0.0
2,4,6,1,0,0.0,0,13.994571,0.0
2,4,8,1,0,0.0,0,8.222622,0.0
2,5,0,0,0,0.0,0,0.0,0.0
2,5,1,0,0,0.0,0,0.0,0.0
2,5,2,0,0,0.0,0,0.0,0.0
2,5,3,1,0,9.9e-05,80,0.0,0.0
2,5,4,1,1,0.0,0,0.0,0.0
2,5,5,0,0,0.0,0,0.0,0.0
2,5,6,1,0,0.000104,80,0.0,0.0
2,5,7,1,0,9.6e-05,80,0.0,0.0
2,5,8,1,0,9.5e-05,80,0.0,0.0
2,5,9,1,0,9.6e-05,80,0.0,0.0
2,5,3,1,0,0.0,0,2.80618,0.0
2,5,4,1,0,0.0,0,5.328896,0.0
2,5,6,1,0,0.0,0,12.390433,0.0
2,5,7,1,0,0.0,0,3.660851,0.0
2,5,8,1,0,0.0,0,6.912469,0.0
2,5,9,1,0,0.0,0,2.850383,0.0
2,6,0,1,1,0.0,0,0.0,0.0
2,6,1,0,0,0.0,0,0.0,0.0
2,6,2,1,0,0.00011,80,0.0,0.0
2,6,3,1,0,9.4e-05,80,0.0,0.0
2,6,4,1,0,9.3e-05,80,0.0,0.0
2,6,5,0,0,0.0,0,0.0,0.0
2,6,6,0,0,0.0,0,0.0,0.0
2,6,7,1,0,9.7e-05,80,0.0,0.0
2,6,8,1,0,9.4e-05,80,0.0,0.0
2,6,9,0,0,0.0,0,0.0,0.0
2,6,0,1,0,0.0,0,4.183906,0.0
2,6,2,1,0,0.0,0,4.153055,0.0
2,6,3,1,0,0.0,0,2.439131,0.0
2,6,4,1,0,0.0,0,4.747913,0.0
2,6,7,1,0,0.0,0,3.931545,0.0
2,6,8,1,0,0.0,0,6.431578,0.0
2,7,0,1,1,0.0,0,0.0,0.0
2,7,1,1,1,0.0,0,0.0,0.0
2,7,2,1,0,0.000102,80,0.0,0.0
2,7,3,1,0,9.4e-05,80,0.0,0.0
2,7,4,0,0,0.0,0,0.0,0.0
2,7,5,1,0,9.4e-05,80,0.0,0.0
2,7,6,0,0,0.0,0,0.0,0.0
2,7,7,0,0,0.0,0,0.0,0.0
2,7,8,1,0,9.5e-05,80,0.0,0.0
2,7,9,0,0,0.0,0,0.0,0.0
2,7,0,1,0,0.0,0,3.669703,0.0
2,7,1,1,0,0.0,0,3.158008,0.0
2,7,2,1,0,0.0,0,3.451568,0.0
2,7,3,1,0,0.0,0,2.135621,0.0
2,7,5,1,0,0.0,0,8.496891,0.0
2,7,8,1,0,0.0,0,6.317595,0.0
2,8,0,1,0,9e-05,80,0.0,0.0
2,8,1,1,0,9.2e-05,80,0.0,0.0
2,8,2,0,0,0.0,0,0.0,0.0
2,8,3,0,0,0.0,0,0.0,0.0
2,8,4,0,0,0.0,0,0.0,0.0
2,8,5,1,0,9.3e-05,80,0.0,0.0
2,8,6,0,0,0.0,0,0.0,0.0
2,8,7,1,0,0.000101,80,0.0,0.0
2,8,8,1,0,9.2e-05,80,0.0,0.0
2,8,9,1,1,0.0,0,0.0,0.0
2,8,0,1,0,0.0,0,3.323597,0.0
2,8,1,1,0,0.0,0,2.838217,0.0
2,8,5,1,0,0.0,0,8.231207,0.0
2,8,7,1,0,0.0,0,5.23758,0.0
2,8,8,1,0,0.0,0,6.218361,0.0
2,8,9,1,0,0.0,0,2.833907,0.0
2,9,0,0,0,0.0,0,0.0,0.0
2,9,1,0,0,0.0,0,0.0,0.0
2,9,2,1,0,9.9e-05,80,0.0,0.0
2,9,3,1,1,0.0,0,0.0,0.0
2,9,4,0,0,0.0,0,0.0,0.0
2,9,5,1,0,0.000104,80,0.0,0.0
2,9,6,1,0,9.5e-05,80,0.0,0.0
2,9,7,0,0,0.0,0,0.0,0.0
2,9,8,1,0,9.4e-05,80,0.0,0.0
2,9,9,1,0,9.3e-05,80,0.0,0.0
2,9,2,1,0,0.0,0,2.879346,0.0
2,9,3,1,0,0.0,0,1.789578,0.0
2,9,5,1,0,0.0,0,7.963545,0.0
2,9,6,1,0,0.0,0,10.639477,0.0
2,9,8,1,0,0.0,0,5.898112,0.0
2,9,9,1,0,0.0,0,2.895125,0.0
2,10,0,1,1,0.0,0,0.0,0.0
2,10,1,1,0,9.8e-05,80,0.0,0.0
2,10,2,1,0,9.3e-05,80,0.0,0.0
2,10,3,0,0,0.0,0,0.0,0.0
2,10,4,1,1,0.0,0,0.0,0.0
2,10,5,0,0,0.0,0,0.0,0.0
2,10,6,0,0,0.0,0,0.0,0.0
2,10,7,0,0,0.0,0,0.0,0.0
2,10,8,1,0,9.7e-05,80,0.0,0.0
2,10,9,1,1,0.0,0,0.0,0.0
2,10,0,1,0,0.0,0,2.829526,0.0
2,10,1,1,0,0.0,0,2.3412,0.0
2,10,2,1,0,0.0,0,2.783654,0.0
2,10,4,1,0,0.0,0,2.836525,0.0
2,10,8,1,0,0.0,0,5.353554,0.0
2,10,9,1,0,0.0,0,2.864177,0.0
3,1,0,1,0,9.2e-05,80,0.0,0.0
3,1,1,0,0,0.0,0,0.0,0.0
3,1,2,1,0,9.3e-05,80,0.0,0.0
3,1,3,1,0,9.1e-05,80,0.0,0.0
3,1,4,1,0,9.4e-05,80,0.0,0.0
3,1,5,0,0,0.0,0,0.0,0.0
3,1,6,0,0,0.0,0,0.0,0.0
3,1,7,1,0,9.6e-05,80,0.0,0.0
3,1,8,1,0,9.5e-05,80,0.0,0.0
3,1,9,0,0,0.0,0,0.0,0.0
3,1,0,1,0,0.0,0,3.283789,0.0
3,1,2,1,0,0.0,0,2.776824,0.0
3,1,3,1,0,0.0,0,1.747895,0.0
3,1,4,1,0,0.0,0,3.642369,0.0
3,1,7,1,0,0.0,0,7.085944,0.0
3,1,8,1,0,0.0,0,4.401058,0.0
3,2,0,1,0,9.4e-05,80,0.0,0.0
3,2,1,1,1,0.0,0,0.0,0.0
3,2,2,0,0,0.0,0,0.0,0.0
3,2,3,1,0,9.5e-05,80,0.0,0.0
3,2,4,1,0,9.4e-05,80,0.0,0.0
3,2,5,0,0,0.0,0,0.0,0.0
3,2,6,1,1,0.0,0,0.0,0.0
3,2,7,1,0,9.8e-05,80,0.0,0.0
3,2,8,0,0,0.0,0,0.0,0.0
3,2,9,0,0,0.0,0,0.0,0.0
3,2,0,1,0,0.0,0,3.08075,0.0
3,2,1,1,0,0.0,0,2.468716,0.0
3,2,3,1,0,0.0,0,1.815606,0.0
3,2,4,1,0,0.0,0,3.551992,0.0
3,2,6,1,0,0.0,0,7.038879,0.0
3,2,7,1,0,0.0,0,6.946423,0.0
3,3,0,0,0,0.0,0,0.0,0.0
3,3,1,0,0,0.0,0,0.0,0.0
3,3,2,1,0,9.8e-05,80,0.0,0.0
3,3,3,1,0,0.000102,80,0.0,0.0
3,3,4,1,0,9.4e-05,80,0.0,0.0
3,3,5,1,0,9.5e-05,80,0.0,0.0
3,3,6,1,1,0.0,0,0.0,0.0
3,3,7,0,0,0.0,0,0.0,0.0
3,3,8,1,1,0.0,0,0.0,0.0
